Nombre,País,Disciplina,Género,Oro,Plata,Bronce,Participaciones
Ian Thorpe,Australia,Natación,M,5,3,1,2
Emma McKeon,Australia,Natación,F,5,2,4,2
Ellyse Perry,Australia,Fútbol,F,0,0,0,2
Lisa Carrington,Nueva Zelanda,Piragüismo,F,5,0,1,3
Sally Pearson,Australia,Atletismo,F,1,1,0,3
Kyle Chalmers,Australia,Natación,M,1,2,1,2
Jessica Fox,Australia,Piragüismo,F,0,2,0,3
Dylan Alcott,Australia,Tenis en Silla de Ruedas,M,4,0,0,3
Peter Burling,Nueva Zelanda,Vela,M,1,1,0,3
Lauren Jackson,Australia,Baloncesto,F,0,3,0,4
